nerd,params,country,score
Technically Savvy,Price,Oman,6.1
Technically Savvy,Price,Madagascar,23.9
Technically Savvy,Price,Ethiopia,2.8
Technically Savvy,Price,Lesotho,1.0
Technically Savvy,Price,Tanzania,8.3
Technically Savvy,Price,Europe,44.19999999999998
Technically Savvy,Price,Cyprus,6.3999999999999995
Technically Savvy,Price,Sudan,2.6999999999999997
Technically Savvy,Price,Asia/Pacific Region,3.4
Technically Savvy,Price,Mali,7.6
Technically Savvy,Price,Togo,3.5000000000000004
Technically Savvy,Price,Mozambique,0.7
Technically Savvy,Price,Liberia,1.7
Technically Savvy,Price,Burkina Faso,3.0
Technically Savvy,Price,Mauritania,1.9
Technically Savvy,Price,Monaco,7.2
Technically Savvy,Price,Guadeloupe,11.200000000000001
Technically Savvy,Price,Isle of Man,2.5
Technically Savvy,Price,Brunei Darussalam,2.9
Technically Savvy,Price,Burundi,1.1
Technically Savvy,Price,Montenegro,6.000000000000001
Technically Savvy,Price,Mongolia,3.4
Technically Savvy,Price,"Moldova, Republic of",1.0
Technically Savvy,Price,"Democratic Republic of the Congo, The Democratic Republic of the",4.0
Technically Savvy,Price,Syrian Arab Republic,7.300000000000001
Technically Savvy,Price,Iraq,8.200000000000001
Technically Savvy,Price,Barbados,1.9
Technically Savvy,Price,Lao People's Democratic Republic,0.9
Technically Savvy,Price,Azerbaijan,2.0
Technically Savvy,Price,Maldives,2.4
Technically Savvy,Price,Malawi,0.9
Technically Savvy,Price,Fiji,1.0
Technically Savvy,Price,Liechtenstein,2.9000000000000004
Technically Savvy,Price,Angola,0.2
Technically Savvy,Price,Botswana,1.9
Technically Savvy,Price,Mayotte,1.4
Technically Savvy,Price,Saint Lucia,1.0
Technically Savvy,Price,Andorra,0.7
Technically Savvy,Price,Papua New Guinea,0.29999999999999993
Technically Savvy,Price,Suriname,0.9
Technically Savvy,Price,Bhutan,1.0
Technically Savvy,Price,Gambia,2.0
Technically Savvy,Price,Cape Verde,0.6
Technically Savvy,Price,"Virgin Islands, U.S.",2.0
Technically Savvy,Price,South Sudan,1.0
Technically Savvy,Price,Cayman Islands,0.4
Technically Savvy,Price,Belize,1.0
Technically Savvy,Price,American Samoa,1.0
Technically Savvy,Price,Niger,1.3
Technically Savvy,Price,Equatorial Guinea,0.9
Technically Savvy,Price,Swaziland,0.9
Technically Savvy,Features,USA,4038.600000000053
Technically Savvy,Features,Canada,842.199999999998
Technically Savvy,Features,France,5657.799999999968
Technically Savvy,Features,India,1110.599999999996
Technically Savvy,Features,Indonesia,204.50000000000028
Technically Savvy,Features,Mexico,1363.7000000000023
Technically Savvy,Features,Bolivia,69.89999999999999
Technically Savvy,Features,Macau,1.4
Technically Savvy,Features,England,1127.1999999999973
Technically Savvy,Features,Tunisia,43.09999999999999
Technically Savvy,Features,Egypt,34.9
Technically Savvy,Features,Portugal,88.70000000000003
Technically Savvy,Features,Uruguay,96.40000000000003
Technically Savvy,Features,Kenya,74.4
Technically Savvy,Features,Germany,5280.399999999978
Technically Savvy,Features,Philippines,105.60000000000005
Technically Savvy,Features,Bangladesh,81.40000000000003
Technically Savvy,Features,Turkey,46.49999999999997
Technically Savvy,Features,Norway,65.29999999999998
Technically Savvy,Features,Poland,48.8
Technically Savvy,Features,Sweden,85.39999999999999
Technically Savvy,Features,Serbia,53.69999999999998
Technically Savvy,Features,Brazil,2639.3000000000434
Technically Savvy,Features,Argentina,619.5999999999979
Technically Savvy,Features,Latvia,15.1
Technically Savvy,Features,Nigeria,71.69999999999999
Technically Savvy,Features,Italy,6348.099999999866
Technically Savvy,Features,Sri Lanka,27.199999999999996
Technically Savvy,Features,Puerto Rico,17.800000000000004
Technically Savvy,Features,Finland,58.69999999999998
Technically Savvy,Features,South Africa,102.90000000000003
Technically Savvy,Features,Luxembourg,43.800000000000004
Technically Savvy,Features,Israel,48.99999999999998
Technically Savvy,Features,Nepal,26.5
Technically Savvy,Features,Peru,157.60000000000014
Technically Savvy,Features,Slovenia,23.7
Technically Savvy,Features,Belgium,432.49999999999926
Technically Savvy,Features,Pakistan,72.89999999999999
Technically Savvy,Features,Morocco,94.50000000000007
Technically Savvy,Features,Russia,47.29999999999998
Technically Savvy,Features,Martinique,14.0
Technically Savvy,Features,Austria,509.99999999999926
Technically Savvy,Features,Switzerland,792.8999999999974
Technically Savvy,Features,Algeria,96.80000000000004
Technically Savvy,Features,Venezuela,234.8000000000005
Technically Savvy,Features,Ecuador,168.40000000000026
Technically Savvy,Features,Colombia,481.999999999999
Technically Savvy,Features,Costa Rica,91.00000000000004
Technically Savvy,Features,Mayotte,1.5
Technically Savvy,Features,Spain,1218.2999999999997
Technically Savvy,Features,Reunion,62.09999999999997
Technically Savvy,Features,Benin,10.1
Technically Savvy,Features,Guatemala,74.70000000000002
Technically Savvy,Features,Dominican Republic,50.799999999999976
Technically Savvy,Features,Chile,325.69999999999993
Technically Savvy,Features,Netherlands,177.20000000000007
Technically Savvy,Features,Croatia,50.89999999999997
Technically Savvy,Features,Honduras,34.09999999999999
Technically Savvy,Features,Mauritius,15.100000000000001
Technically Savvy,Features,Paraguay,53.89999999999998
Technically Savvy,Features,Macedonia,11.0
Technically Savvy,Features,Cuba,18.099999999999998
Technically Savvy,Features,Anonymous Proxy,11.8
Technically Savvy,Features,Czech Republic,43.4
Technically Savvy,Features,Panama,33.099999999999994
Technically Savvy,Features,Romania,104.60000000000004
Technically Savvy,Features,Denmark,54.90000000000001
Technically Savvy,Features,Cameroon,30.199999999999992
Technically Savvy,Features,New Zealand,111.9
Technically Savvy,Features,San Marino,5.0
Technically Savvy,Features,Ireland,93.80000000000005
Technically Savvy,Features,Bahrain,6.3
Technically Savvy,Features,Estonia,20.800000000000008
Technically Savvy,Features,El Salvador,75.4
Technically Savvy,Features,Australia,521.2999999999988
Technically Savvy,Features,Hungary,25.899999999999995
Technically Savvy,Features,Palestinian Territory,2.8
Technically Savvy,Features,Libya,1.0
Technically Savvy,Features,New Caledonia,25.000000000000004
Technically Savvy,Features,Uganda,12.5
Technically Savvy,Features,United Arab Emirates,45.89999999999999
Technically Savvy,Features,nan,15.8
Technically Savvy,Features,Thailand,32.599999999999994
Technically Savvy,Features,Lithuania,20.099999999999994
Technically Savvy,Features,Singapore,44.49999999999999
Technically Savvy,Features,Saudi Arabia,28.6
Technically Savvy,Features,Iran, Islamic Republic of",69.09999999999998
Technically Savvy,Features,Bulgaria,39.39999999999999
Technically Savvy,Features,Jersey,3.3
Technically Savvy,Features,Trinidad and Tobago,6.8999999999999995
Technically Savvy,Features,Nicaragua,25.7
Technically Savvy,Features,Greece,114.40000000000003
Technically Savvy,Features,Qatar,11.799999999999999
Technically Savvy,Features,Japan,35.69999999999999
Technically Savvy,Features,Slovakia,20.499999999999996
Technically Savvy,Features,Zambia,4.300000000000001
Technically Savvy,Features,Turks and Caicos Islands,1.0
Technically Savvy,Features,Bosnia and Herzegovina,15.8
Technically Savvy,Features,Belarus,12.7
Technically Savvy,Features,Georgia,3.3
Technically Savvy,Features,Namibia,2.8
Technically Savvy,Features,Jamaica,0.5
Technically Savvy,Features,Guyana,5.4
Technically Savvy,Features,Rwanda,2.1999999999999997
Technically Savvy,Features,Guernsey,2.3
Technically Savvy,Features,Ukraine,14.100000000000003
Technically Savvy,Features,"Korea, Republic of",14.899999999999999
Technically Savvy,Features,French Polynesia,17.8
Technically Savvy,Features,Iceland,5.8999999999999995
Technically Savvy,Features,Albania,14.100000000000001
Technically Savvy,Features,Jordan,7.699999999999999
Technically Savvy,Features,Armenia,1.5
Technically Savvy,Features,Ghana,21.899999999999995
Technically Savvy,Features,Bahamas,2.5
Technically Savvy,Features,Lebanon,14.9
Technically Savvy,Features,Guam,1.2
Technically Savvy,Features,Malta,7.0
Technically Savvy,Features,Curacao,1.8
Technically Savvy,Features,French Guiana,9.9
Technically Savvy,Features,Taiwan,10.299999999999999
Technically Savvy,Features,Guinea,2.9
Technically Savvy,Features,Zimbabwe,11.2
Technically Savvy,Features,Saint Pierre and Miquelon,1.7999999999999998
Technically Savvy,Features,Cote D'Ivoire,40.3
Technically Savvy,Features,Malaysia,88.00000000000004
Technically Savvy,Features,Democratic Republic of the Congo,3.5999999999999996
Technically Savvy,Features,China,25.79999999999999
Technically Savvy,Features,Senegal,21.500000000000004
Technically Savvy,Features,Vietnam,18.400000000000002
Technically Savvy,Features,Hong Kong,23.899999999999995
Technically Savvy,Features,Cambodia,3.6999999999999997
Technically Savvy,Features,Haiti,3.6
Technically Savvy,Features,Kazakhstan,3.0999999999999996
Technically Savvy,Features,Kuwait,4.4
Technically Savvy,Features,Afghanistan,3.8
Technically Savvy,Features,Oman,4.8
Technically Savvy,Features,Madagascar,27.399999999999995
Technically Savvy,Features,Myanmar,10.799999999999999
Technically Savvy,Features,Ethiopia,3.3
Technically Savvy,Features,Lesotho,1.7
Technically Savvy,Features,Tanzania,10.499999999999998
Technically Savvy,Features,Europe,48.2
Technically Savvy,Features,Cyprus,5.199999999999999
Technically Savvy,Features,Sudan,2.9
Technically Savvy,Features,Asia/Pacific Region,3.5999999999999996
Technically Savvy,Features,Mali,6.8
Technically Savvy,Features,Togo,4.699999999999999
Technically Savvy,Features,Mozambique,0.7999999999999999
Technically Savvy,Features,Liberia,2.1999999999999997
Technically Savvy,Features,Burkina Faso,3.3
Technically Savvy,Features,Mauritania,1.2
Technically Savvy,Features,Monaco,6.5
Technically Savvy,Features,Guadeloupe,13.600000000000001
Technically Savvy,Features,Isle of Man,3.1999999999999997
Technically Savvy,Features,Gabon,5.5
Technically Savvy,Features,Brunei Darussalam,2.5
Technically Savvy,Features,Burundi,1.1
Technically Savvy,Features,Montenegro,4.6
Technically Savvy,Features,Mongolia,3.4
Technically Savvy,Features,"Moldova, Republic of",0.1
Technically Savvy,Features,"Democratic Republic of the Congo, The Democratic Republic of the",4.7
Technically Savvy,Features,Syrian Arab Republic,7.4
Technically Savvy,Features,Iraq,9.2
Technically Savvy,Features,Barbados,2.2
Technically Savvy,Features,Lao People's Democratic Republic,1.0
Technically Savvy,Features,Azerbaijan,0.9
Technically Savvy,Features,Maldives,1.9
Technically Savvy,Features,Malawi,1.0
Technically Savvy,Features,Fiji,0.9
Technically Savvy,Features,Liechtenstein,3.4
Technically Savvy,Features,Angola,1.7
Technically Savvy,Features,Botswana,1.7999999999999998
Technically Savvy,Features,Saint Lucia,0.29999999999999993
Technically Savvy,Features,Andorra,1.0
Technically Savvy,Features,Papua New Guinea,0.9
Technically Savvy,Features,Suriname,1.0
Technically Savvy,Features,Bhutan,0.5
Technically Savvy,Features,Gambia,1.8
Technically Savvy,Features,Cape Verde,0.7
Technically Savvy,Features,South Sudan,0.9
Technically Savvy,Features,Cayman Islands,0.7
Technically Savvy,Features,Belize,0.9
Technically Savvy,Features,Solomon Islands,0.4
Technically Savvy,Features,"Virgin Islands, U.S.",0.4
Technically Savvy,Features,Niger,1.7
Technically Savvy,Features,Equatorial Guinea,1.0
Technically Savvy,Features,Swaziland,0.6
Technically Savvy,Reliability,France,3725.9000000000487
Technically Savvy,Reliability,Canada,489.09999999999945
Technically Savvy,Reliability,Germany,3304.7000000000467
Technically Savvy,Reliability,Panama,9.5
Technically Savvy,Reliability,Italy,3471.6000000000668
Technically Savvy,Reliability,Switzerland,526.1999999999987
Technically Savvy,Reliability,Brazil,1406.8000000000004
Technically Savvy,Reliability,USA,2019.400000000003
Technically Savvy,Reliability,Turkey,27.199999999999996
Technically Savvy,Reliability,England,586.5999999999993
Technically Savvy,Reliability,Russia,27.29999999999999
Technically Savvy,Reliability,Estonia,14.399999999999999
Technically Savvy,Reliability,Latvia,10.299999999999999
Technically Savvy,Reliability,Costa Rica,34.5
Technically Savvy,Reliability,Slovakia,13.1
Technically Savvy,Reliability,Denmark,31.9
Technically Savvy,Reliability,Spain,404.3999999999998
Technically Savvy,Reliability,Ireland,51.99999999999999
Technically Savvy,Reliability,Czech Republic,24.200000000000006
Technically Savvy,Reliability,nan,10.1
Technically Savvy,Reliability,Australia,306.29999999999995
Technically Savvy,Reliability,Argentina,198.80000000000007
Technically Savvy,Reliability,Venezuela,87.89999999999999
Technically Savvy,Reliability,Greece,60.299999999999976
Technically Savvy,Reliability,French Guiana,8.200000000000001
Technically Savvy,Reliability,Hungary,17.200000000000003
Technically Savvy,Reliability,Belgium,296.80000000000024
Technically Savvy,Reliability,Austria,328.1
Technically Savvy,Reliability,Portugal,50.99999999999999
Technically Savvy,Reliability,Iran, Islamic Republic of",35.400000000000006
Technically Savvy,Reliability,Bulgaria,25.900000000000002
Technically Savvy,Reliability,Ghana,13.799999999999999
Technically Savvy,Reliability,Solomon Islands,1.5
Technically Savvy,Reliability,United Arab Emirates,25.900000000000002
Technically Savvy,Reliability,Indonesia,94.69999999999997
Technically Savvy,Reliability,Mexico,444.1999999999999
Technically Savvy,Reliability,Taiwan,7.3999999999999995
Technically Savvy,Reliability,Morocco,48.60000000000001
Technically Savvy,Reliability,Democratic Republic of the Congo,2.3999999999999995
Technically Savvy,Reliability,China,24.099999999999998
Technically Savvy,Reliability,India,551.3999999999996
Technically Savvy,Reliability,Senegal,15.599999999999998
Technically Savvy,Reliability,Martinique,8.500000000000002
Technically Savvy,Reliability,Thailand,20.4
Technically Savvy,Reliability,Honduras,10.399999999999999
Technically Savvy,Reliability,Malaysia,50.60000000000001
Technically Savvy,Reliability,Cameroon,14.8
Technically Savvy,Reliability,Colombia,169.9000000000001
Technically Savvy,Reliability,Algeria,49.20000000000001
Technically Savvy,Reliability,Puerto Rico,10.4
Technically Savvy,Reliability,New Zealand,60.99999999999998
Technically Savvy,Reliability,Finland,35.5
Technically Savvy,Reliability,Philippines,64.89999999999999
Technically Savvy,Reliability,Ukraine,5.7
Technically Savvy,Reliability,Chile,104.59999999999991
Technically Savvy,Reliability,Croatia,31.399999999999995
Technically Savvy,Reliability,Ecuador,60.09999999999998
Technically Savvy,Reliability,Japan,13.5
Technically Savvy,Reliability,Singapore,37.2
Technically Savvy,Reliability,Nigeria,33.0
Technically Savvy,Reliability,Hong Kong,14.700000000000003
Technically Savvy,Reliability,Sri Lanka,14.5
Technically Savvy,Reliability,Peru,53.00000000000001
Technically Savvy,Reliability,Uruguay,34.29999999999999
Technically Savvy,Reliability,Dominican Republic,13.6
Technically Savvy,Reliability,Netherlands,95.80000000000007
Technically Savvy,Reliability,Pakistan,36.199999999999996
Technically Savvy,Reliability,Bolivia,22.199999999999996
Technically Savvy,Reliability,Paraguay,19.9
Technically Savvy,Reliability,Serbia,33.099999999999994
Technically Savvy,Reliability,Vietnam,8.899999999999999
Technically Savvy,Reliability,Mauritius,9.400000000000002
Technically Savvy,Reliability,Trinidad and Tobago,3.0
Technically Savvy,Reliability,Bahrain,1.7
Technically Savvy,Reliability,Cote D'Ivoire,30.3
Technically Savvy,Reliability,Cambodia,2.8
Technically Savvy,Reliability,Nepal,14.3
Technically Savvy,Reliability,Haiti,3.3
Technically Savvy,Reliability,"Korea, Republic of",7.800000000000001
Technically Savvy,Reliability,New Caledonia,18.500000000000004
Technically Savvy,Reliability,Sweden,40.49999999999999
Technically Savvy,Reliability,Romania,58.399999999999984
Technically Savvy,Reliability,Guatemala,28.300000000000015
Technically Savvy,Reliability,El Salvador,19.799999999999997
Technically Savvy,Reliability,Kazakhstan,2.4
Technically Savvy,Reliability,Saudi Arabia,11.499999999999998
Technically Savvy,Reliability,Guyana,3.5
Technically Savvy,Reliability,Kuwait,3.8999999999999995
Technically Savvy,Reliability,Bangladesh,41.39999999999999
Technically Savvy,Reliability,Reunion,43.4
Technically Savvy,Reliability,French Polynesia,12.200000000000001
Technically Savvy,Reliability,Norway,36.39999999999999
Technically Savvy,Reliability,Israel,27.6
Technically Savvy,Reliability,Afghanistan,1.9
Technically Savvy,Reliability,Kenya,37.70000000000001
Technically Savvy,Reliability,Oman,2.6
Technically Savvy,Reliability,Bosnia and Herzegovina,10.000000000000002
Technically Savvy,Reliability,South Africa,53.19999999999998
Technically Savvy,Reliability,Madagascar,22.3
Technically Savvy,Reliability,Tunisia,24.599999999999998
Technically Savvy,Reliability,Uganda,7.7
Technically Savvy,Reliability,Albania,5.4
Technically Savvy,Reliability,Lithuania,15.600000000000005
Technically Savvy,Reliability,Egypt,19.000000000000004
Technically Savvy,Reliability,Lebanon,10.200000000000001
Technically Savvy,Reliability,Myanmar,6.3999999999999995
Technically Savvy,Reliability,Ethiopia,2.1999999999999997
Technically Savvy,Reliability,Luxembourg,28.8
Technically Savvy,Reliability,Lesotho,1.4
Technically Savvy,Reliability,Anonymous Proxy,3.0999999999999996
Technically Savvy,Reliability,Tanzania,8.399999999999999
Technically Savvy,Reliability,Europe,30.799999999999997
Technically Savvy,Reliability,Namibia,1.8
Technically Savvy,Reliability,Zimbabwe,7.8999999999999995
Technically Savvy,Reliability,Poland,26.4
Technically Savvy,Reliability,Cyprus,5.5
Technically Savvy,Reliability,Iceland,4.6
Technically Savvy,Reliability,Belarus,4.8999999999999995
Technically Savvy,Reliability,Sudan,2.0999999999999996
Technically Savvy,Reliability,Asia/Pacific Region,2.9999999999999996
Technically Savvy,Reliability,Guernsey,2.0
Technically Savvy,Reliability,Malta,4.1
Technically Savvy,Reliability,Mali,6.300000000000001
Technically Savvy,Reliability,Togo,1.9
Technically Savvy,Reliability,Qatar,5.8
Technically Savvy,Reliability,Mozambique,0.1
Technically Savvy,Reliability,Slovenia,14.5
Technically Savvy,Reliability,Liberia,1.2
Technically Savvy,Reliability,Burkina Faso,2.4
Technically Savvy,Reliability,Georgia,0.6
Technically Savvy,Reliability,Mauritania,1.2999999999999998
Technically Savvy,Reliability,Monaco,5.9
Technically Savvy,Reliability,Guadeloupe,9.200000000000001
Technically Savvy,Reliability,Isle of Man,1.1
Technically Savvy,Reliability,Gabon,4.499999999999999
Technically Savvy,Reliability,Brunei Darussalam,3.0999999999999996
Technically Savvy,Reliability,Benin,6.8999999999999995
Technically Savvy,Reliability,Burundi,0.7999999999999999
Technically Savvy,Reliability,Armenia,0.19999999999999998
Technically Savvy,Reliability,Jordan,5.8
Technically Savvy,Reliability,Cuba,6.099999999999999
Technically Savvy,Reliability,Nicaragua,9.0
Technically Savvy,Reliability,Saint Pierre and Miquelon,1.9999999999999998
Technically Savvy,Reliability,San Marino,1.2999999999999998
Technically Savvy,Reliability,Montenegro,2.4
Technically Savvy,Reliability,Bahamas,1.6
Technically Savvy,Reliability,Guinea,1.2
Technically Savvy,Reliability,"Moldova, Republic of",0.7999999999999999
Technically Savvy,Reliability,"Democratic Republic of the Congo, The Democratic Republic of the",2.6
Technically Savvy,Reliability,Syrian Arab Republic,5.1
Technically Savvy,Reliability,Macedonia,2.7
Technically Savvy,Reliability,Azerbaijan,1.5
Technically Savvy,Reliability,Iraq,2.4
Technically Savvy,Reliability,Mongolia,1.7
Technically Savvy,Reliability,Jersey,1.0
Technically Savvy,Reliability,Maldives,1.1
Technically Savvy,Reliability,Malawi,0.7999999999999999
Technically Savvy,Reliability,Barbados,0.4
Technically Savvy,Reliability,Jamaica,0.7
Technically Savvy,Reliability,Fiji,0.7
Technically Savvy,Reliability,Guam,0.9
Technically Savvy,Reliability,Liechtenstein,2.3
Technically Savvy,Reliability,Angola,1.2999999999999998
Technically Savvy,Reliability,Mayotte,0.7
Technically Savvy,Reliability,Saint Lucia,0.6
Technically Savvy,Reliability,Andorra,0.9
Technically Savvy,Reliability,Zambia,2.3
Technically Savvy,Reliability,Papua New Guinea,0.7
Technically Savvy,Reliability,Suriname,0.5
Technically Savvy,Reliability,Bhutan,0.6
Technically Savvy,Reliability,Rwanda,0.9999999999999999
Technically Savvy,Reliability,Belize,0.4
Technically Savvy,Reliability,Botswana,0.9999999999999999
Technically Savvy,Reliability,"Virgin Islands, U.S.",0.9
Technically Savvy,Reliability,Niger,1.2999999999999998
